id,class,reactants>reagents>production
US20060052408A1,6,[CH3:1][N:2]([CH2:3][C@@:4]1([c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[CH2:11][C@H:12]1[CH2:13][O:14][CH2:26][c:25]1[cH:24][cH:23][cH:22][cH:28][cH:27]1)[C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21]>>[CH3:1][N:2]([CH2:3][C@@:4]1([c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[CH2:11][C@H:12]1[CH2:13][OH:14])[C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21]
US20070072847A1,6,[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][C@@H:7]([O:8][C:9](=[O:10])[N:11]2[CH2:12][CH2:13][CH:14]([N:15]3[CH2:16][CH2:17][c:18]4[cH:19][cH:20][cH:21][cH:22][c:23]4[NH:24][C:25]3=[O:26])[CH2:27][CH2:28]2)[C:29](=[O:30])[N:31]2[CH2:32][CH2:33][CH:34]([N:35]3[CH2:36][CH2:37][N:38]([CH2:52][c:51]4[cH:50][cH:49][cH:48][cH:54][cH:53]4)[CH2:39][CH2:40]3)[CH2:41][CH2:42]2)[cH:43][c:44]([CH3:45])[c:46]1[OH:47]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][C@@H:7]([O:8][C:9](=[O:10])[N:11]2[CH2:12][CH2:13][CH:14]([N:15]3[CH2:16][CH2:17][c:18]4[cH:19][cH:20][cH:21][cH:22][c:23]4[NH:24][C:25]3=[O:26])[CH2:27][CH2:28]2)[C:29](=[O:30])[N:31]2[CH2:32][CH2:33][CH:34]([N:35]3[CH2:36][CH2:37][NH:38][CH2:39][CH2:40]3)[CH2:41][CH2:42]2)[cH:43][c:44]([CH3:45])[c:46]1[OH:47]
US20050107616A1,2,[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]([N:6]=[C:7]=[O:8])[C:27](=[O:28])[O:29][CH3:30].[OH:9][C@@H:10]([CH2:11][c:12]1[n:13][n:14][c:15](-[c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[o:22]1)[C:23]([CH3:24])([CH3:25])[CH3:26]>>[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]([NH:6][C:7](=[O:8])[O:9][C@@H:10]([CH2:11][c:12]1[n:13][n:14][c:15](-[c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[o:22]1)[C:23]([CH3:24])([CH3:25])[CH3:26])[C:27](=[O:28])[O:29][CH3:30]
US20100121048A1,8,[CH3:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[N:7]2[CH2:8][CH2:9][N:10]([C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[CH2:18][C@H:19]2[CH2:20][OH:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[n:29]1-[c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1>>[CH3:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[N:7]2[CH2:8][CH2:9][N:10]([C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[CH2:18][C@H:19]2[CH:20]=[O:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[n:29]1-[c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1
US20090264431A1,2,[CH3:1][C@H:2]1[CH2:3][C@@H:4]([NH2:5])[CH2:18][N:19]1[C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26].[S:6](=[O:7])(=[O:8])([c:9]1[cH:10][c:11]([Br:12])[c:13]([F:14])[cH:15][c:16]1[F:17])[Cl:27]>>[CH3:1][C@H:2]1[CH2:3][C@@H:4]([NH:5][S:6](=[O:7])(=[O:8])[c:9]2[cH:10][c:11]([Br:12])[c:13]([F:14])[cH:15][c:16]2[F:17])[CH2:18][N:19]1[C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26]
US20100099695A1,1,[CH2:1]=[CH:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[OH:27].[OH:10][C@H:11]1[CH2:12][C@@H:13]([C:14](=[O:15])[O:16][CH3:17])[N:18]([C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[CH2:26]1>>[CH2:1]=[CH:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[O:10][C@@H:11]1[CH2:12][C@@H:13]([C:14](=[O:15])[O:16][CH3:17])[N:18]([C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[CH2:26]1
US20100249129A1,2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[Cl:18])[cH:16][cH:17]1.[OH:9][CH2:10][C@@H:11]1[CH2:12][CH2:13][CH2:14][O:15]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[O:9][CH2:10][C@@H:11]2[CH2:12][CH2:13][CH2:14][O:15]2)[cH:16][cH:17]1
US20150045355A1,6,[O:1]=[C:2]1[CH2:3][CH2:4][c:5]2[c:6]([O:7][c:8]3[cH:9][cH:10][c:11]4[c:12]([cH:13]3)[C@@H:14]3[C@H:15]([O:16]4)[C@H:17]3[C:18](=[O:19])[O:20][CH2:27][CH3:26])[cH:21][cH:22][n:23][c:24]2[NH:25]1>>[O:1]=[C:2]1[CH2:3][CH2:4][c:5]2[c:6]([O:7][c:8]3[cH:9][cH:10][c:11]4[c:12]([cH:13]3)[C@@H:14]3[C@H:15]([O:16]4)[C@H:17]3[C:18](=[O:19])[OH:20])[cH:21][cH:22][n:23][c:24]2[NH:25]1
US20050239841A1,6,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C@:7]23[CH2:8][CH2:9][N:10]([CH2:36][c:35]4[cH:34][cH:33][cH:32][cH:38][cH:37]4)[C@H:11]2[CH2:12][C@H:13]([NH:14][C:15](=[O:16])[NH:17][c:18]2[cH:19][cH:20][c:21]([F:22])[c:23]([F:24])[cH:25]2)[CH2:26][CH2:27]3)[cH:28][c:29]1[O:30][CH3:31]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C@:7]23[CH2:8][CH2:9][NH:10][C@H:11]2[CH2:12][C@H:13]([NH:14][C:15](=[O:16])[NH:17][c:18]2[cH:19][cH:20][c:21]([F:22])[c:23]([F:24])[cH:25]2)[CH2:26][CH2:27]3)[cH:28][c:29]1[O:30][CH3:31]
US05081237,7,[CH2:1]=[CH:2][CH2:3][O:4][C:5](=[O:6])[N:7]1[CH2:8][CH2:9][CH2:10][C@H:11]1[C:12](=[O:13])[O:15][CH3:14]>>[CH2:1]=[CH:2][CH2:3][O:4][C:5](=[O:6])[N:7]1[CH2:8][CH2:9][CH2:10][C@H:11]1[CH2:12][OH:13]
US20140200227A1,6,[CH3:1][C@H:2]1[CH2:3][N:4]([C:19](=[O:18])[O:20][CH2:21][c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[CH2:5][C@@H:6]([NH:7][C:8](=[O:9])[O:10][C:11]([CH3:12])([CH3:13])[CH3:14])[C@:15]1([CH3:16])[OH:17]>>[CH3:1][C@H:2]1[CH2:3][NH:4][CH2:5][C@@H:6]([NH:7][C:8](=[O:9])[O:10][C:11]([CH3:12])([CH3:13])[CH3:14])[C@:15]1([CH3:16])[OH:17]
US05482700,5,[C:21](=[O:22])([C:23]([F:24])([F:25])[F:26])[O:29][CH2:28][CH3:27].[O:1]=[C:2]([OH:3])[C@H:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:18][cH:19]1)[NH2:20]>>[O:1]=[C:2]([OH:3])[C@H:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:18][cH:19]1)[NH:20][C:21](=[O:22])[C:23]([F:24])([F:25])[F:26]
US05362738,2,[C:5](=[O:6])([c:7]1[cH:8][c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[c:16](=[O:17])[n:18]2[c:19]1-[c:20]1[cH:21][cH:22][cH:23][cH:24][c:25]1[CH2:26]2)[OH:31].[CH3:1][C@H:2]1[CH2:3][NH:4][CH2:27][C@@H:28]([CH3:29])[O:30]1>>[CH3:1][C@H:2]1[CH2:3][N:4]([C:5](=[O:6])[c:7]2[cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16](=[O:17])[n:18]3[c:19]2-[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[CH2:26]3)[CH2:27][C@@H:28]([CH3:29])[O:30]1
US20060276504A1,2,[C:12](=[O:13])([CH2:14][c:15]1[c:16]([C:17](=[O:18])[C:19]([CH3:20])([CH3:21])[CH3:22])[o:23][c:24]2[cH:25][cH:26][c:27]([O:28][CH3:29])[cH:30][c:31]12)[OH:32].[CH3:1][CH2:2][CH2:3][C@@H:4]1[CH2:5][CH2:6][C@H:7]([CH2:8][CH2:9][CH3:10])[NH:11]1>>[CH3:1][CH2:2][CH2:3][C@H:4]1[CH2:5][CH2:6][C@@H:7]([CH2:8][CH2:9][CH3:10])[N:11]1[C:12](=[O:13])[CH2:14][c:15]1[c:16]([C:17](=[O:18])[C:19]([CH3:20])([CH3:21])[CH3:22])[o:23][c:24]2[cH:25][cH:26][c:27]([O:28][CH3:29])[cH:30][c:31]12
US20140107109A1,9,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C:9]1=[N:10][C@:11]([CH3:12])([c:13]2[cH:14][c:15]([Br:30])[cH:19][cH:20][c:21]2[F:22])[CH2:23][S:24](=[O:25])(=[O:26])[C:27]1([CH3:28])[CH3:29].[N-:16]=[N+:17]=[N-:18]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C:9]1=[N:10][C@:11]([CH3:12])([c:13]2[cH:14][c:15]([N:16]=[N+:17]=[N-:18])[cH:19][cH:20][c:21]2[F:22])[CH2:23][S:24](=[O:25])(=[O:26])[C:27]1([CH3:28])[CH3:29]
US20090298807A1,6,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH2:9][c:10]1[cH:11][cH:12][c:13]([O:14][CH2:15][CH2:16][N:17]2[CH2:18][CH2:19][C:20]3([CH2:21][CH2:22]2)[CH2:23][N:24]([C:45](=[O:44])[C:46]([F:47])([F:48])[F:49])[CH2:25][CH2:26][O:27]3)[cH:28][cH:29]1)[CH2:30][C@H:31]([OH:32])[c:33]1[cH:34][cH:35][c:36]([OH:37])[c:38]2[nH:39][c:40](=[O:41])[s:42][c:43]12>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH2:9][c:10]1[cH:11][cH:12][c:13]([O:14][CH2:15][CH2:16][N:17]2[CH2:18][CH2:19][C:20]3([CH2:21][CH2:22]2)[CH2:23][NH:24][CH2:25][CH2:26][O:27]3)[cH:28][cH:29]1)[CH2:30][C@H:31]([OH:32])[c:33]1[cH:34][cH:35][c:36]([OH:37])[c:38]2[nH:39][c:40](=[O:41])[s:42][c:43]12
US20080108595A1,6,[O:1]=[C:2]([O:3][CH3:15])[C@@H:4]([OH:5])[CH2:6][S:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1>>[O:1]=[C:2]([OH:3])[C@@H:4]([OH:5])[CH2:6][S:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1
US20110319378A1,4,[N-:7]=[N+:8]=[N-:9].[O:1]=[C:2]1[C@@H:3]([CH2:4][C:5]#[N:6])[CH2:10][C@H:11]([c:12]2[cH:13][cH:14][cH:15][c:16]([Cl:17])[cH:18]2)[C@@H:19]([c:20]2[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]2)[N:27]1[CH2:28][CH:29]1[CH2:30][CH2:31]1>>[O:1]=[C:2]1[C@@H:3]([CH2:4][c:5]2[n:6][n:7][n:8][nH:9]2)[CH2:10][C@H:11]([c:12]2[cH:13][cH:14][cH:15][c:16]([Cl:17])[cH:18]2)[C@@H:19]([c:20]2[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]2)[N:27]1[CH2:28][CH:29]1[CH2:30][CH2:31]1
US07572934B2,6,[CH3:1]/[CH:2]=[CH:3]/[C@H:4]([CH2:5][C:6](=[O:7])[O:8][CH2:9][CH3:10])[c:11]1[cH:12][cH:13][c:14]([O:15][CH3:19])[cH:16][c:17]1[CH3:18]>>[CH3:1]/[CH:2]=[CH:3]/[C@H:4]([CH2:5][C:6](=[O:7])[O:8][CH2:9][CH3:10])[c:11]1[cH:12][cH:13][c:14]([OH:15])[cH:16][c:17]1[CH3:18]
US04420435,9,[CH3:1][C:2](=[O:3])[C@H:4]1[C@H:5]([C:6](=[O:7])[OH:11])[C:8]1([CH3:9])[CH3:10]>>[CH3:1][C:2](=[O:3])[C@H:4]1[C@H:5]([CH:6]=[O:7])[C:8]1([CH3:9])[CH3:10]
US04557867,8,[CH3:1][C@@H:2]1[CH2:3][C:4]2=[CH:5][C:6](=[O:7])[CH2:8][CH2:9][C@@H:10]2[C@H:11]2[C@H:12]([OH:13])[CH2:14][C@:15]3([CH3:16])[C:17](=[O:18])[CH2:19][CH2:20][C@H:21]3[C@H:22]12>>[CH3:1][C@@H:2]1[CH2:3][C:4]2=[CH:5][C:6](=[O:7])[CH2:8][CH2:9][C@@H:10]2[C@H:11]2[C:12](=[O:13])[CH2:14][C@:15]3([CH3:16])[C:17](=[O:18])[CH2:19][CH2:20][C@H:21]3[C@H:22]12
US08748426B2,6,[CH3:1][CH:2]([CH3:3])[C@@H:4]([C:5](=[O:6])[O:7][CH3:35])[N:8]1[CH2:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][c:17]([NH:18][C:19](=[O:20])[c:21]4[cH:22][cH:23][c:24]([F:25])[c:26]([F:27])[cH:28]4)[cH:29][cH:30]3)[cH:31][c:32]2[C:33]1=[O:34]>>[CH3:1][CH:2]([CH3:3])[C@@H:4]([C:5](=[O:6])[OH:7])[N:8]1[CH2:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][c:17]([NH:18][C:19](=[O:20])[c:21]4[cH:22][cH:23][c:24]([F:25])[c:26]([F:27])[cH:28]4)[cH:29][cH:30]3)[cH:31][c:32]2[C:33]1=[O:34]
US20110178060A1,2,[C:10](=[O:11])([CH:12]1[CH2:13][CH2:14][O:15][CH2:16][CH2:17]1)[OH:41].[CH3:1][N:2]([C:3](=[O:4])[N:5]([CH3:6])[C@@H:7]1[CH2:8][NH:9][CH2:18][C@H:19]1[c:20]1[cH:21][cH:22][c:23]([F:24])[cH:25][cH:26]1)[c:27]1[cH:28][c:29]([C:30]([F:31])([F:32])[F:33])[cH:34][c:35]([C:36]([F:37])([F:38])[F:39])[cH:40]1>>[CH3:1][N:2]([C:3](=[O:4])[N:5]([CH3:6])[C@@H:7]1[CH2:8][N:9]([C:10](=[O:11])[CH:12]2[CH2:13][CH2:14][O:15][CH2:16][CH2:17]2)[CH2:18][C@H:19]1[c:20]1[cH:21][cH:22][c:23]([F:24])[cH:25][cH:26]1)[c:27]1[cH:28][c:29]([C:30]([F:31])([F:32])[F:33])[cH:34][c:35]([C:36]([F:37])([F:38])[F:39])[cH:40]1
US20080200423A1,7,[CH3:1][C@@:2]1([OH:3])[C@H:4]([OH:5])[C@@H:6]([CH2:7][OH:8])[O:9][C@H:10]1[n:11]1[cH:12][c:13]2[cH:14][cH:15][c:16]3[c:17]2[c:18]([n:19]1)[cH:20][n:21][nH:22][c:23]3=[O:24]>>[CH3:1][C@@:2]1([OH:3])[C@H:4]([OH:5])[C@@H:6]([CH2:7][OH:8])[O:9][C@H:10]1[N:11]1[CH:12]=[C:13]2[CH2:14][CH2:15][C:16]3=[C:17]2[C:18](=[N:19]1)[CH:20]=[N:21][NH:22][C:23]3=[O:24]
US20120022058A1,3,[C:9]1([Cl:30])=[N:10][N:11]([c:12]2[cH:13][cH:14][c:15]([C:16]#[N:17])[c:18]([CH3:19])[n:20]2)[C@@H:21]([CH:22]2[CH2:23][CH2:24][CH2:25][CH2:26]2)[CH2:27]1.[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([B:32]([OH:31])[OH:33])[cH:28][cH:29]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([C:9]2=[N:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16]#[N:17])[c:18]([CH3:19])[n:20]3)[C@@H:21]([CH:22]3[CH2:23][CH2:24][CH2:25][CH2:26]3)[CH2:27]2)[cH:28][cH:29]1
US04959372,1,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:39].[NH2:15][C@@H:16]([CH2:17][CH2:18][CH2:19][CH2:20][NH:21][C:22](=[O:23])[O:24][CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[C:32](=[O:33])[O:34][C:35]([CH3:36])([CH3:37])[CH3:38]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@H:6]([CH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[NH:15][C@@H:16]([CH2:17][CH2:18][CH2:19][CH2:20][NH:21][C:22](=[O:23])[O:24][CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[C:32](=[O:33])[O:34][C:35]([CH3:36])([CH3:37])[CH3:38]
US07332498B2,6,[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[N:8]([CH2:9][CH2:10][CH2:11][N:12]2[C:38](=[O:37])[c:39]3[cH:40][cH:41][cH:42][cH:43][c:44]3[C:45]2=[O:46])[CH:13]([c:14]2[n:15][c:16]3[cH:17][cH:18][n:19][cH:20][c:21]3[c:22](=[O:23])[n:24]2[CH2:25][c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH:32]([CH3:33])[CH3:34])[cH:35][cH:36]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[N:8]([CH2:9][CH2:10][CH2:11][NH2:12])[C@@H:13]([c:14]2[n:15][c:16]3[cH:17][cH:18][n:19][cH:20][c:21]3[c:22](=[O:23])[n:24]2[CH2:25][c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH:32]([CH3:33])[CH3:34])[cH:35][cH:36]1
US20080181866A1,6,[O:1]=[C:2]([OH:3])[CH:4]1[CH2:5][S:6][C@H:7]([CH:8]2[CH2:9][CH2:10][CH2:11][N:12]([C:30]([O:29][C:26]([CH3:25])([CH3:27])[CH3:28])=[O:31])[CH2:13]2)[N:14]1[C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1>>[O:1]=[C:2]([OH:3])[CH:4]1[CH2:5][S:6][C@H:7]([CH:8]2[CH2:9][CH2:10][CH2:11][NH:12][CH2:13]2)[N:14]1[C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1
US08173631B2,7,[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[C@@H:8]2[CH2:9][CH2:10][CH2:11][N:12]2[C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][c:21]1[F:22]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]([OH:7])[C@@H:8]2[CH2:9][CH2:10][CH2:11][N:12]2[C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][c:21]1[F:22]
US20070129288A1,2,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][C@H:10]([OH:11])[CH2:12][C@@H:13]1[NH:14][C:15](=[O:16])[C@@H:17]([NH:18][C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[CH2:26][c:27]2[cH:28][c:29]([cH:30][cH:31][c:32]2[OH:33])-[c:34]2[cH:35][cH:36][c:37]([OH:38])[c:39]([cH:40]2)[CH2:41][C@@H:42]([C:43](=[O:44])[OH:56])[NH:53][C:54]1=[O:55].[NH2:45][CH2:46][c:47]1[cH:48][cH:49][cH:50][cH:51][cH:52]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][C@H:10]([OH:11])[CH2:12][C@@H:13]1[NH:14][C:15](=[O:16])[C@@H:17]([NH:18][C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[CH2:26][c:27]2[cH:28][c:29]([cH:30][cH:31][c:32]2[OH:33])-[c:34]2[cH:35][cH:36][c:37]([OH:38])[c:39]([cH:40]2)[CH2:41][C@@H:42]([C:43](=[O:44])[NH:45][CH2:46][c:47]2[cH:48][cH:49][cH:50][cH:51][cH:52]2)[NH:53][C:54]1=[O:55]
US20150119393A1,2,[CH3:1][CH:2]([CH3:3])[N:4]=[C:5]=[O:6].[OH:7][C@@H:8]1[CH2:9][CH2:10][C@H:11]([c:12]2[cH:13][cH:14][c:15](-[c:16]3[n:17][c:18]4[c:19]([cH:20][c:21]3[Cl:22])[n:23][c:24]([O:25][C@@H:26]3[CH2:27][O:28][C@@H:29]5[C@H:30]([O:31][Si:32]([CH3:33])([CH3:34])[C:35]([CH3:36])([CH3:37])[CH3:38])[CH2:39][O:40][C@H:41]35)[n:42]4[CH2:43][O:44][CH2:45][CH2:46][Si:47]([CH3:48])([CH3:49])[CH3:50])[cH:51][cH:52]2)[CH2:53][CH2:54]1>>[CH3:1][CH:2]([CH3:3])[NH:4][C:5](=[O:6])[O:7][C@H:8]1[CH2:9][CH2:10][C@@H:11]([c:12]2[cH:13][cH:14][c:15](-[c:16]3[n:17][c:18]4[c:19]([cH:20][c:21]3[Cl:22])[n:23][c:24]([O:25][C@@H:26]3[CH2:27][O:28][C@@H:29]5[C@H:30]([O:31][Si:32]([CH3:33])([CH3:34])[C:35]([CH3:36])([CH3:37])[CH3:38])[CH2:39][O:40][C@H:41]35)[n:42]4[CH2:43][O:44][CH2:45][CH2:46][Si:47]([CH3:48])([CH3:49])[CH3:50])[cH:51][cH:52]2)[CH2:53][CH2:54]1
US20140336106A1,2,[C:15](=[O:16])([CH2:17][N:18]1[CH2:19][CH2:20][CH:21]([OH:22])[CH2:23][CH2:24]1)[OH:37].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C@H:8]([NH:9][C:10](=[O:11])[C@H:12]([CH3:13])[NH2:14])[C:25](=[O:26])[O:27][CH2:28][c:29]2[cH:30][cH:31][cH:32][cH:33][cH:34]2)[cH:35][cH:36]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C@H:8]([NH:9][C:10](=[O:11])[C@H:12]([CH3:13])[NH:14][C:15](=[O:16])[CH2:17][N:18]2[CH2:19][CH2:20][CH:21]([OH:22])[CH2:23][CH2:24]2)[C:25](=[O:26])[O:27][CH2:28][c:29]2[cH:30][cH:31][cH:32][cH:33][cH:34]2)[cH:35][cH:36]1
US05693809,2,[C:4](=[O:5])([C:6]([CH3:7])([CH3:8])[CH3:9])[Cl:30].[CH3:1][CH:2]([OH:3])[C@H:10]1[CH2:11][CH2:12][C@H:13]2[C@@H:14]3[CH2:15][CH2:16][C@H:17]4[NH:18][C:19](=[O:20])[CH:21]=[CH:22][C@:23]4([CH3:24])[C@H:25]3[CH2:26][CH2:27][C@:28]12[CH3:29]>>[CH3:1][CH:2]([O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH3:9])[C@H:10]1[CH2:11][CH2:12][C@H:13]2[C@@H:14]3[CH2:15][CH2:16][C@H:17]4[NH:18][C:19](=[O:20])[CH:21]=[CH:22][C@:23]4([CH3:24])[C@H:25]3[CH2:26][CH2:27][C@:28]12[CH3:29]
US20140179669A1,6,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][cH:9][c:10]2[c:11]1[CH2:12][C@H:13]1[N:14]([CH2:26][c:25]3[cH:24][cH:23][cH:22][cH:28][cH:27]3)[CH2:15][CH2:16][C@:17]2([CH3:18])[C:19]1([CH3:20])[CH3:21]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][cH:9][c:10]2[c:11]1[CH2:12][C@H:13]1[NH:14][CH2:15][CH2:16][C@:17]2([CH3:18])[C:19]1([CH3:20])[CH3:21]
US08063240B2,7,[O:1]=[C:2]1[CH2:3][C@H:4]2[C@H:5]([CH2:6][C@@H:7]([O:8][CH:9]3[CH2:10][CH2:11][CH2:12][CH2:13][O:14]3)[C@@H:15]2[CH2:16][CH2:17][C:18]([F:19])([F:20])[CH2:21][O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[O:29]1>>[OH:1][CH:2]1[CH2:3][C@H:4]2[C@H:5]([CH2:6][C@@H:7]([O:8][CH:9]3[CH2:10][CH2:11][CH2:12][CH2:13][O:14]3)[C@@H:15]2[CH2:16][CH2:17][C:18]([F:19])([F:20])[CH2:21][O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[O:29]1
US06743939B2,7,[CH3:1][n:2]1[cH:3][cH:4][n:5][c:6]1[C:7](=[O:8])[CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19]>>[CH3:1][n:2]1[cH:3][cH:4][n:5][c:6]1[C@H:7]([OH:8])[CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19]
US09150510B2,2,[C:11](=[O:12])([CH:13]=[CH:14][c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[F:21])[OH:22].[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH:7]([CH3:8])[CH3:9])[NH2:10]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH:7]([CH3:8])[CH3:9])[NH:10][C:11](=[O:12])[CH:13]=[CH:14][c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[F:21]
US20040138462A1,1,[CH3:1][CH2:2][I:39].[OH:3][c:4]1[cH:5][cH:6][c:7]([S:8](=[O:9])(=[O:10])[c:11]2[cH:12][cH:13][c:14]([CH2:15][CH2:16][N:17]([CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[CH2:25][C@H:26]([OH:27])[c:28]3[cH:29][cH:30][cH:31][c:32]([Cl:33])[cH:34]3)[cH:35][cH:36]2)[cH:37][cH:38]1>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([S:8](=[O:9])(=[O:10])[c:11]2[cH:12][cH:13][c:14]([CH2:15][CH2:16][N:17]([CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[CH2:25][C@H:26]([OH:27])[c:28]3[cH:29][cH:30][cH:31][c:32]([Cl:33])[cH:34]3)[cH:35][cH:36]2)[cH:37][cH:38]1
